female	 14	 3	 99	99	66	99	99	99	99	99	 verygood	 experience	 yes	 rarely	 yes	 no	 sometimes	 yes 
male	 16	 3	 99	99	99	4	5	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 15	 3	 66	66	66	66	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 12	 3	 99	99	66	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 14	 3	 99	66	66	66	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 2	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 15	 2	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 school	 veryregularly	 yes 
female	 15	 3	 99	99	66	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
female	 14	 2	 99	99	66	66	66	99	99	99	 good	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 15	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 no	 rarely	 yes 
female	 15	 2	 99	66	66	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 school	 sometimes	 yes 
male	 12	 2	 5	99	5	99	99	5	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 12	 2	 5	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 13	 2	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
male	 15	 2	 99	99	66	99	99	99	99	99	 good	 both	 yes	 sometimes	 yes	 no	 sometimes	 maybe 
male	 15	 2	 4	99	5	99	99	99	99	99	 verygood	 none	 yes	 veryregularly	 yes	 home	 veryregularly	 yes 
male	 15	 2	 5	99	5	99	5	99	99	99	 verygood	 english	 yes	 never	 yes	 no	 veryregularly	 yes 
male	 14	 3	 4	99	5	99	5	99	99	99	 verygood	 none	 yes	 veryregularly	 yes	 no	 veryregularly	 yes 
male	 14	 2	 4	99	5	99	99	99	99	99	 verygood	 none	 yes	 veryregularly	 yes	 home	 veryregularly	 yes 
female	 15	 2	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
